title,year,genres,avgRating,numRatings
Forrest Gump,1994,Comedy/Drama/Romance/War,4.16,329
The Shawshank Redemption,1994,Crime/Drama,4.43,317
Pulp Fiction,1994,Comedy/Crime/Drama/Thriller,4.2,307
The Silence of the Lambs,1991,Crime/Horror/Thriller,4.16,279
The Matrix,1999,Action/Sci-Fi/Thriller,4.19,278
Star Wars: Episode IV - A New Hope,1977,Action/Adventure/Sci-Fi,4.23,251
Jurassic Park,1993,Action/Adventure/Sci-Fi/Thriller,3.75,238
Braveheart,1995,Action/Drama/War,4.03,237
Terminator 2: Judgment Day,1991,Action/Sci-Fi,3.97,224
Schindler's List,1993,Drama/War,4.22,220
Fight Club,1999,Action/Crime/Drama/Thriller,4.27,218
Toy Story,1995,Adventure/Animation/Children/Comedy/Fantasy,3.92,215
Star Wars: Episode V - The Empire Strikes Back,1980,Action/Adventure/Sci-Fi,4.22,211
The Usual Suspects,1995,Crime/Mystery/Thriller,4.24,204
American Beauty,1999,Drama/Romance,4.06,204
Seven (a.k.a. Se7en),1995,Mystery/Thriller,3.98,203
Independence Day (a.k.a. ID4),1996,Action/Adventure/Sci-Fi/Thriller,3.45,202
Apollo 13,1995,Adventure/Drama/IMAX,3.85,201
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),1981,Action/Adventure,4.21,200
The Lord of the Rings: The Fellowship of the Ring,2001,Adventure/Fantasy,4.11,198
Star Wars: Episode VI - Return of the Jedi,1983,Action/Adventure/Sci-Fi,4.14,196
The Godfather,1972,Crime/Drama,4.29,192
The Fugitive,1993,Thriller,3.99,190
Batman,1989,Action/Crime/Thriller,3.43,189
Saving Private Ryan,1998,Action/Drama/War,4.15,188
The Lord of the Rings: The Two Towers,2002,Adventure/Fantasy,4.02,188
The Lord of the Rings: The Return of the King,2003,Action/Adventure/Drama/Fantasy,4.12,185
Aladdin,1992,Adventure/Animation/Children/Comedy/Musical,3.79,183
Fargo,1996,Comedy/Crime/Drama/Thriller,4.12,181
The Sixth Sense,1999,Drama/Horror/Mystery,3.89,179
True Lies,1994,Action/Adventure/Comedy/Romance/Thriller,3.5,178
Twelve Monkeys (a.k.a. 12 Monkeys),1995,Mystery/Sci-Fi/Thriller,3.98,177
The Lion King,1994,Adventure/Animation/Children/Drama/Musical/IMAX,3.94,172
Speed,1994,Action/Romance/Thriller,3.53,171
Back to the Future,1985,Adventure/Comedy/Sci-Fi,4.04,171
Gladiator,2000,Action/Adventure/Drama,3.94,170
Shrek,2001,Adventure/Animation/Children/Comedy/Fantasy/Romance,3.87,170
Men in Black (a.k.a. MIB),1997,Action/Comedy/Sci-Fi,3.49,165
Dances with Wolves,1990,Adventure/Drama/Western,3.84,164
Mission: Impossible,1996,Action/Adventure/Mystery/Thriller,3.54,162
Ace Ventura: Pet Detective,1994,Comedy,3.04,161
Memento,2000,Mystery/Thriller,4.12,159
The Mask,1994,Action/Comedy/Crime/Fantasy,3.18,157
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Action/Adventure/Comedy/Fantasy,3.78,149
The Dark Knight,2008,Action/Crime/Drama/IMAX,4.24,149
Beauty and the Beast,1991,Animation/Children/Fantasy/Musical/Romance/IMAX,3.77,146
Alien,1979,Horror/Sci-Fi,3.97,146
Die Hard,1988,Action/Crime/Thriller,3.86,145
Die Hard: With a Vengeance,1995,Action/Crime/Thriller,3.56,144
Mrs. Doubtfire,1993,Comedy/Drama,3.39,144
Groundhog Day,1993,Comedy/Fantasy/Romance,3.94,143
Inception,2010,Action/Crime/Drama/Mystery/Sci-Fi/Thriller/IMAX,4.07,143
The Princess Bride,1987,Action/Adventure/Comedy/Fantasy/Romance,4.23,142
Good Will Hunting,1997,Drama/Romance,4.08,141
Finding Nemo,2003,Adventure/Animation/Children/Comedy,3.96,141
Stargate,1994,Action/Adventure/Sci-Fi,3.38,140
Indiana Jones and the Last Crusade,1989,Action/Adventure,4.05,140
Titanic,1997,Drama/Romance,3.41,140
Star Wars: Episode I - The Phantom Menace,1999,Action/Adventure/Sci-Fi,3.11,140
Batman Forever,1995,Action/Adventure/Comedy/Crime,2.92,137
Monty Python and the Holy Grail,1975,Adventure/Comedy/Fantasy,4.16,136
Pretty Woman,1990,Comedy/Romance,3.49,135
Dumb & Dumber (Dumb and Dumber),1994,Adventure/Comedy,3.06,133
Léon: The Professional (a.k.a. The Professional) (Léon),1994,Action/Crime/Drama/Thriller,4.02,133
One Flew Over the Cuckoo's Nest,1975,Drama,4.2,133
X-Men,2000,Action/Adventure/Sci-Fi,3.7,133
GoldenEye,1995,Action/Adventure/Thriller,3.5,132
Monsters; Inc.,2001,Adventure/Animation/Children/Comedy/Fantasy,3.87,132
Reservoir Dogs,1992,Crime/Mystery/Thriller,4.2,131
The Terminator,1984,Action/Sci-Fi/Thriller,3.9,131
Kill Bill: Vol. 1,2003,Action/Crime/Thriller,3.96,131
Eternal Sunshine of the Spotless Mind,2004,Drama/Romance/Sci-Fi,4.16,131
The Godfather: Part II,1974,Crime/Drama,4.26,129
American History X,1998,Crime/Drama,4.22,129
Babe,1995,Children/Drama,3.65,128
Aliens,1986,Action/Adventure/Horror/Sci-Fi,3.96,126
Goodfellas,1990,Crime/Drama,4.25,126
The Truman Show,1998,Comedy/Drama/Sci-Fi,3.81,125
The Incredibles,2004,Action/Adventure/Animation/Children/Comedy,3.84,125
Blade Runner,1982,Action/Sci-Fi/Thriller,4.1,124
Twister,1996,Action/Adventure/Romance/Thriller,3.32,123
A Beautiful Mind,2001,Drama/Romance,4.0,123
E.T. the Extra-Terrestrial,1982,Children/Drama/Sci-Fi,3.77,122
Spider-Man,2002,Action/Adventure/Sci-Fi/Thriller,3.54,122
The Rock,1996,Action/Adventure/Thriller,3.64,121
Austin Powers: The Spy Who Shagged Me,1999,Action/Adventure/Comedy,3.2,121
A Clockwork Orange,1971,Crime/Drama/Sci-Fi/Thriller,4.0,120
Ghostbusters (a.k.a. Ghost Busters),1984,Action/Comedy/Sci-Fi,3.77,120
Amélie,2001,Comedy/Romance,4.18,120
Minority Report,2002,Action/Crime/Mystery/Sci-Fi/Thriller,3.64,120
Willy Wonka & the Chocolate Factory,1971,Children/Comedy/Fantasy/Musical,3.87,119
Ocean's Eleven,2001,Crime/Thriller,3.84,119
Home Alone,1990,Children/Comedy,3.0,116
The Fifth Element,1997,Action/Adventure/Comedy/Sci-Fi,3.75,116
Batman Begins,2005,Action/Crime/IMAX,3.86,116
Waterworld,1995,Action/Adventure/Sci-Fi,2.91,115
Ghost,1990,Comedy/Drama/Fantasy/Romance/Thriller,3.43,115
Catch Me If You Can,2002,Crime/Drama,3.92,115
The Breakfast Club,1985,Comedy/Drama,3.78,113
The Net,1995,Action/Crime/Thriller,3.04,112
The Bourne Identity,2002,Action/Mystery/Thriller,3.82,112
The Green Mile,1999,Crime/Drama,4.15,111
Jumanji,1995,Adventure/Children/Fantasy,3.43,110
Clear and Present Danger,1994,Action/Crime/Drama/Thriller,3.6,110
Crouching Tiger; Hidden Dragon (Wo hu cang long),2000,Action/Drama/Romance,3.84,110
Kill Bill: Vol. 2,2004,Action/Drama/Thriller,3.87,110
Interview with the Vampire: The Vampire Chronicles,1994,Drama/Horror,3.46,109
2001: A Space Odyssey,1968,Adventure/Drama/Sci-Fi,3.89,109
The Shining,1980,Horror,4.08,109
Ferris Bueller's Day Off,1986,Comedy,3.84,109
Donnie Darko,2001,Drama/Mystery/Sci-Fi/Thriller,3.98,109
Star Trek: Generations,1994,Adventure/Drama/Sci-Fi,3.39,108
Indiana Jones and the Temple of Doom,1984,Action/Adventure/Fantasy,3.64,108
Apocalypse Now,1979,Action/Drama/War,4.22,107
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone),2001,Adventure/Children/Fantasy,3.76,107
The Departed,2006,Crime/Drama/Thriller,4.25,107
Sleepless in Seattle,1993,Comedy/Drama/Romance,3.47,106
The Big Lebowski,1998,Comedy/Crime,3.92,106
There's Something About Mary,1998,Comedy/Romance,3.68,105
Up,2009,Adventure/Animation/Children/Drama,4.0,105
Clueless,1995,Comedy/Romance,3.29,104
Taxi Driver,1976,Crime/Drama/Thriller,4.11,104
Clerks,1994,Comedy,3.86,104
WALL·E,2008,Adventure/Animation/Children/Romance/Sci-Fi,4.06,104
Crimson Tide,1995,Drama/Thriller/War,3.64,103
Four Weddings and a Funeral,1994,Comedy/Romance,3.52,103
American Pie,1999,Comedy/Romance,3.38,103
Heat,1995,Action/Crime/Thriller,3.95,102
Trainspotting,1996,Comedy/Crime/Drama,4.04,102
Full Metal Jacket,1987,Drama/War,4.1,102
Harry Potter and the Chamber of Secrets,2002,Adventure/Fantasy,3.6,102
Outbreak,1995,Action/Drama/Sci-Fi/Thriller,3.43,101
Cliffhanger,1993,Action/Adventure/Thriller,3.03,101
The Firm,1993,Drama/Thriller,3.53,101
Casablanca,1942,Drama/Romance,4.24,100
Austin Powers: International Man of Mystery,1997,Action/Adventure/Comedy,3.54,100
Cast Away,2000,Drama,3.7,100
V for Vendetta,2006,Action/Sci-Fi/Thriller/IMAX,3.88,100
Happy Gilmore,1996,Comedy,3.44,99
Being John Malkovich,1999,Comedy/Drama/Fantasy,3.95,99
While You Were Sleeping,1995,Comedy/Romance,3.47,98
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy/War,4.27,97
L.A. Confidential,1997,Crime/Film-Noir/Mystery/Thriller,4.06,97
Who Framed Roger Rabbit?,1988,Adventure/Animation/Children/Comedy/Crime/Fantasy/Mystery,3.57,97
Toy Story 2,1999,Adventure/Animation/Children/Comedy/Fantasy,3.86,97
Avatar,2009,Action/Adventure/Sci-Fi/IMAX,3.6,97
As Good as It Gets,1997,Comedy/Drama/Romance,3.7,96
Rain Man,1988,Drama,3.81,96
Requiem for a Dream,2000,Drama,3.92,96
The Matrix Reloaded,2003,Action/Adventure/Sci-Fi/Thriller/IMAX,3.35,96
Office Space,1999,Comedy/Crime,4.09,94
O Brother; Where Art Thou?,2000,Adventure/Comedy/Crime,3.81,94
Iron Man,2008,Action/Adventure/Sci-Fi,3.82,94
The Nightmare Before Christmas,1993,Animation/Children/Fantasy/Musical,3.55,93
Snatch,2000,Comedy/Crime/Thriller,4.16,93
Harry Potter and the Prisoner of Azkaban,2004,Adventure/Fantasy/IMAX,3.91,93
Natural Born Killers,1994,Action/Crime/Thriller,3.23,92
The Wizard of Oz,1939,Adventure/Children/Fantasy/Musical,3.88,92
Armageddon,1998,Action/Romance/Sci-Fi/Thriller,3.05,92
A Bug's Life,1998,Adventure/Animation/Children/Comedy,3.52,92
Shakespeare in Love,1998,Comedy/Drama/Romance,3.78,92
Star Wars: Episode II - Attack of the Clones,2002,Action/Adventure/Sci-Fi/IMAX,3.16,92
Shrek 2,2004,Adventure/Animation/Children/Comedy/Musical/Romance,3.58,92
Stand by Me,1986,Adventure/Drama,4.01,91
Star Trek: First Contact,1996,Action/Adventure/Sci-Fi/Thriller,3.88,91
Jaws,1975,Action/Horror,4.01,91
Beetlejuice,1988,Comedy/Fantasy,3.47,91
Big,1988,Comedy/Drama/Fantasy/Romance,3.72,91
Meet the Parents,2000,Comedy,3.42,91
The Hunt for Red October,1990,Action/Adventure/Thriller,3.87,90
The Prestige,2006,Drama/Mystery/Sci-Fi/Thriller,4.01,90
Get Shorty,1995,Comedy/Crime/Thriller,3.49,89
Monty Python's Life of Brian,1979,Comedy,3.93,89
Ace Ventura: When Nature Calls,1995,Comedy,2.73,88
Back to the Future Part III,1990,Adventure/Comedy/Sci-Fi/Western,3.37,88
Life Is Beautiful (La Vita è bella),1997,Comedy/Drama/Romance/War,4.15,88
Total Recall,1990,Action/Adventure/Sci-Fi/Thriller,3.65,88
Inglourious Basterds,2009,Action/Drama/War,4.14,88
Back to the Future Part II,1989,Adventure/Comedy/Sci-Fi,3.51,87
The Mummy,1999,Action/Adventure/Comedy/Fantasy/Horror/Thriller,3.12,87
Airplane!,1980,Comedy,3.86,87
Spirited Away (Sen to Chihiro no kamikakushi),2001,Adventure/Animation/Fantasy,4.16,87
The Birdcage,1996,Comedy,3.49,86
Dead Poets Society,1989,Drama,3.96,86
Mars Attacks!,1996,Action/Comedy/Sci-Fi,3.09,86
Gattaca,1997,Drama/Sci-Fi/Thriller,3.95,86
When Harry Met Sally...,1989,Comedy/Romance,3.86,85
Jerry Maguire,1996,Drama/Romance,3.59,85
Ice Age,2002,Adventure/Animation/Children/Comedy,3.69,85
Broken Arrow,1996,Action/Adventure/Thriller,3.02,84
Addams Family Values,1993,Children/Comedy/Fantasy,3.1,84
Rear Window,1954,Mystery/Thriller,4.26,84
The Blues Brothers,1980,Action/Comedy/Musical,3.81,84
Sin City,2005,Action/Crime/Film-Noir/Mystery/Thriller,3.86,84
Top Gun,1986,Action/Romance,3.3,83
Psycho,1960,Crime/Horror,4.04,83
Almost Famous,2000,Drama,3.87,83
Casino,1995,Crime/Drama,3.93,82
The Nutty Professor,1996,Comedy/Fantasy/Romance/Sci-Fi,2.73,82
Contact,1997,Drama/Sci-Fi,3.65,82
Quiz Show,1994,Drama,3.52,81
The Santa Clause,1994,Comedy/Drama/Fantasy,3.2,81
Demolition Man,1993,Action/Adventure/Sci-Fi,3.09,81
Pan's Labyrinth (Laberinto del fauno; El),2006,Drama/Fantasy/Thriller,3.81,81
Casino Royale,2006,Action/Adventure/Thriller,3.94,81
The Bourne Ultimatum,2007,Action/Crime/Thriller,3.7,81
Mr. Holland's Opus,1995,Drama,3.71,80
Starship Troopers,1997,Action/Sci-Fi,3.33,80
Edward Scissorhands,1990,Drama/Fantasy/Romance,3.7,80
300,2007,Action/Fantasy/War/IMAX,3.68,80
The Graduate,1967,Comedy/Drama/Romance,4.06,79
Dogma,1999,Adventure/Comedy/Fantasy,3.65,79
The Matrix Revolutions,2003,Action/Adventure/Sci-Fi/Thriller/IMAX,3.15,79
Spider-Man 2,2004,Action/Adventure/Sci-Fi/IMAX,3.8,79
Chicken Run,2000,Animation/Children/Comedy,3.55,78
Star Wars: Episode III - Revenge of the Sith,2005,Action/Adventure/Sci-Fi,3.43,78
What's Eating Gilbert Grape,1993,Drama,3.77,77
Snow White and the Seven Dwarfs,1937,Animation/Children/Drama/Fantasy/Musical,3.62,77
Face/Off,1997,Action/Crime/Drama/Thriller,3.37,77
The Game,1997,Drama/Mystery/Thriller,3.7,77
Mission: Impossible II,2000,Action/Adventure/Thriller,2.71,77
Shaun of the Dead,2004,Comedy/Horror,4.01,77
Little Miss Sunshine,2006,Adventure/Comedy/Drama,3.88,77
Leaving Las Vegas,1995,Drama/Romance,3.62,76
Dave,1993,Comedy/Romance,3.55,76
Amadeus,1984,Drama,4.18,76
South Park: Bigger; Longer and Uncut,1999,Animation/Comedy/Musical,3.86,76
X2: X-Men United,2003,Action/Adventure/Sci-Fi/Thriller,3.72,76
The Hangover,2009,Comedy/Crime,3.63,76
The Dark Knight Rises,2012,Action/Adventure/Crime/IMAX,3.99,76
Lethal Weapon,1987,Action/Comedy/Crime/Drama,3.67,75
Run Lola Run (Lola rennt),1998,Action/Crime,4.0,75
Galaxy Quest,1999,Adventure/Comedy/Sci-Fi,3.58,75
High Fidelity,2000,Comedy/Drama/Romance,3.67,75
City of God (Cidade de Deus),2002,Action/Adventure/Crime/Drama/Thriller,4.15,75
The Bourne Supremacy,2004,Action/Crime/Thriller,3.79,75
Maverick,1994,Adventure/Comedy/Western,3.5,74
Liar Liar,1997,Comedy,3.03,74
Lost in Translation,2003,Comedy/Drama/Romance,4.03,74
The 40-Year-Old Virgin,2005,Comedy/Romance,3.55,74
Unbreakable,2000,Drama/Sci-Fi,3.48,73
Interstellar,2014,Sci-Fi/IMAX,3.99,73
Good; the Bad and the Ugly; The (Buono; il brutto; il cattivo; Il),1966,Action/Adventure/Western,4.15,72
Charlie's Angels,2000,Action/Comedy,2.72,72
Pirates of the Caribbean: Dead Man's Chest,2006,Action/Adventure/Fantasy,3.51,72
Ratatouille,2007,Animation/Children/Drama,3.87,72
Mary Poppins,1964,Children/Comedy/Fantasy/Musical,3.89,71
A Fish Called Wanda,1988,Comedy/Crime,3.92,71
Bruce Almighty,2003,Comedy/Drama/Fantasy/Romance,3.32,71
Harry Potter and the Goblet of Fire,2005,Adventure/Fantasy/Thriller/IMAX,3.82,71
Slumdog Millionaire,2008,Crime/Drama/Romance,3.81,71
Django Unchained,2012,Action/Drama/Western,3.94,71
The American President,1995,Comedy/Drama/Romance,3.67,70
Ed Wood,1994,Comedy/Drama,3.68,70
In the Line of Fire,1993,Action/Thriller,3.69,70
Scream,1996,Comedy/Horror/Mystery/Thriller,3.2,70
RoboCop,1987,Action/Crime/Drama/Sci-Fi/Thriller,3.37,70
Erin Brockovich,2000,Drama,3.53,70
Traffic,2000,Crime/Drama/Thriller,3.9,70
Robin Hood: Men in Tights,1993,Comedy,3.13,69
Citizen Kane,1941,Drama/Mystery,4.04,69
Young Frankenstein,1974,Comedy/Fantasy,3.99,69
Big Fish,2003,Drama/Fantasy/Romance,3.83,69
The Avengers,2012,Action/Adventure/Sci-Fi/IMAX,3.87,69
Pocahontas,1995,Animation/Children/Drama/Musical/Romance,3.15,68
Legends of the Fall,1994,Drama/Romance/War/Western,3.4,68
Die Hard 2,1990,Action/Adventure/Thriller,3.4,68
Grease,1978,Comedy/Musical/Romance,3.14,68
Honey; I Shrunk the Kids,1989,Adventure/Children/Comedy/Fantasy/Sci-Fi,2.76,68
The Patriot,2000,Action/Drama/War,3.45,68
The Royal Tenenbaums,2001,Comedy/Drama,3.68,68
Sense and Sensibility,1995,Drama/Romance,3.78,67
Dead Man Walking,1995,Crime/Drama,3.84,67
The Lost World: Jurassic Park,1997,Action/Adventure/Sci-Fi/Thriller,2.75,67
The Little Mermaid,1989,Animation/Children/Comedy/Musical/Romance,3.43,67
Enemy of the State,1998,Action/Thriller,3.49,67
Lock; Stock & Two Smoking Barrels,1998,Comedy/Crime/Thriller,4.05,67
Scarface,1983,Action/Crime/Drama,3.93,67
Shutter Island,2010,Drama/Mystery/Thriller,4.02,67
Desperado,1995,Action/Romance/Western,3.56,66
Philadelphia,1993,Drama,3.61,66
This Is Spinal Tap,1984,Comedy,4.02,66
School of Rock,2003,Comedy/Musical,3.4,66
Tombstone,1993,Action/Drama/Western,3.82,65
True Romance,1993,Crime/Thriller,3.8,65
Dragonheart,1996,Action/Adventure/Fantasy,3.09,65
The Untouchables,1987,Action/Crime/Drama,3.94,65
Bridget Jones's Diary,2001,Comedy/Drama/Romance,3.62,65
Austin Powers in Goldmember,2002,Comedy,2.85,65
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Comedy,3.35,65
Juno,2007,Comedy/Drama/Romance,3.77,65
District 9,2009,Mystery/Sci-Fi/Thriller,3.78,65
The Crow,1994,Action/Crime/Fantasy/Thriller,3.61,64
Eraser,1996,Action/Drama/Thriller,3.11,64
The Sound of Music,1965,Musical/Romance,3.94,64
The Sting,1973,Comedy/Crime,3.98,64
Rocky,1976,Drama,3.83,64
The Blair Witch Project,1999,Drama/Horror/Thriller,2.8,64
Miss Congeniality,2000,Comedy/Crime,3.05,64
Legally Blonde,2001,Comedy/Romance,3.16,64
Children of Men,2006,Action/Adventure/Drama/Sci-Fi/Thriller,3.95,64
No Country for Old Men,2007,Crime/Drama,3.9,64
Coneheads,1993,Comedy/Sci-Fi,2.42,63
Platoon,1986,Drama/War,3.98,63
The Rocky Horror Picture Show,1975,Comedy/Horror/Musical/Sci-Fi,3.34,63
Signs,2002,Horror/Sci-Fi/Thriller,3.17,63
Casper,1995,Adventure/Children,2.81,62
Judge Dredd,1995,Action/Crime/Sci-Fi,2.67,62
The Abyss,1989,Action/Adventure/Sci-Fi/Thriller,3.48,62
Butch Cassidy and the Sundance Kid,1969,Action/Western,3.94,62
Star Trek II: The Wrath of Khan,1982,Action/Adventure/Sci-Fi/Thriller,3.77,62
Sleepy Hollow,1999,Fantasy/Horror/Mystery/Romance,3.48,62
Animal House,1978,Comedy,3.69,62
Blazing Saddles,1974,Comedy/Western,3.94,62
The Last Samurai,2003,Action/Adventure/Drama/War,3.9,62
The Chronicles of Narnia: The Lion; the Witch and the Wardrobe,2005,Adventure/Children/Fantasy,3.44,62
I Am Legend,2007,Action/Horror/Sci-Fi/Thriller/IMAX,3.48,62
The Piano,1993,Drama/Romance,3.54,61
The Three Musketeers,1993,Action/Adventure/Comedy/Romance,3.26,61
Pleasantville,1998,Comedy/Drama/Fantasy,3.48,61
Superman,1978,Action/Adventure/Sci-Fi,3.61,61
Wayne's World,1992,Comedy,3.48,61
Predator,1987,Action/Sci-Fi/Thriller,3.58,61
Gone in 60 Seconds,2000,Action/Crime,3.22,61
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2),2002,Action/Comedy/Sci-Fi,2.96,61
I; Robot,2004,Action/Adventure/Sci-Fi/Thriller,3.49,61
Charlie and the Chocolate Factory,2005,Adventure/Children/Comedy/Fantasy/IMAX,3.0,61
Hot Fuzz,2007,Action/Comedy/Crime/Mystery,4.0,61
Hot Shots! Part Deux,1993,Action/Comedy/War,2.87,60
Pinocchio,1940,Animation/Children/Fantasy/Musical,3.45,60
Vertigo,1958,Drama/Mystery/Romance/Thriller,4.03,60
Batman Returns,1992,Action/Crime,3.02,60
The Mask of Zorro,1998,Action/Comedy/Romance,3.1,60
Close Encounters of the Third Kind,1977,Adventure/Drama/Sci-Fi,3.74,60
My Big Fat Greek Wedding,2002,Comedy/Romance,3.27,60
Beverly Hills Cop III,1994,Action/Comedy/Crime/Thriller,2.72,59
Brazil,1985,Fantasy/Sci-Fi,4.18,59
Chinatown,1974,Crime/Film-Noir/Mystery/Thriller,4.21,59
Grosse Pointe Blank,1997,Comedy/Crime/Romance,3.61,59
Con Air,1997,Action/Adventure/Thriller,3.03,59
My Cousin Vinny,1992,Comedy,3.26,59
Spaceballs,1987,Comedy/Sci-Fi,3.48,59
American Psycho,2000,Crime/Horror/Mystery/Thriller,3.79,59
The Italian Job,2003,Action/Crime,3.62,59
Love Actually,2003,Comedy/Drama/Romance,3.79,59
Mr. & Mrs. Smith,2005,Action/Adventure/Comedy/Romance,3.28,59
Star Trek,2009,Action/Adventure/Sci-Fi/IMAX,3.86,59
Guardians of the Galaxy,2014,Action/Adventure/Sci-Fi,4.05,59
Naked Gun 33 1/3: The Final Insult,1994,Action/Comedy,3.06,58
The Truth About Cats & Dogs,1996,Comedy/Romance,3.39,58
It's a Wonderful Life,1946,Children/Drama/Fantasy/Romance,4.03,58
To Kill a Mockingbird,1962,Drama,4.12,58
Annie Hall,1977,Comedy/Romance,3.87,58
Raising Arizona,1987,Comedy,3.99,58
Air Force One,1997,Action/Thriller,3.34,58
Blade,1998,Action/Horror/Thriller,3.36,58
Bowling for Columbine,2002,Documentary,3.78,58
28 Days Later,2002,Action/Horror/Sci-Fi,3.97,58
Wedding Crashers,2005,Comedy/Romance,3.51,58
Harry Potter and the Order of the Phoenix,2007,Adventure/Drama/Fantasy/IMAX,3.86,58
Harry Potter and the Half-Blood Prince,2009,Adventure/Fantasy/Mystery/Romance/IMAX,3.89,58
Sherlock Holmes,2009,Action/Crime/Mystery/Thriller,3.85,58
The King's Speech,2010,Drama,4.04,58
Congo,1995,Action/Adventure/Mystery/Sci-Fi,2.88,57
The Client,1994,Drama/Mystery/Thriller,3.39,57
North by Northwest,1959,Action/Adventure/Mystery/Romance/Thriller,4.18,57
12 Angry Men,1957,Drama,4.15,57
Cool Hand Luke,1967,Drama,4.27,57
The Goonies,1985,Action/Adventure/Children/Comedy/Fantasy,3.57,57
A Few Good Men,1992,Crime/Drama/Thriller,3.79,57
Crocodile Dundee,1986,Adventure/Comedy,3.18,57
Anchorman: The Legend of Ron Burgundy,2004,Comedy,3.77,57
The Social Network,2010,Drama,3.89,57
Wallace & Gromit: The Wrong Trousers,1993,Animation/Children/Comedy/Crime,4.04,56
Field of Dreams,1989,Children/Drama/Fantasy,3.52,56
The Full Monty,1997,Comedy/Drama,3.76,56
The Wedding Singer,1998,Comedy/Romance,3.42,56
Rushmore,1998,Comedy/Drama,3.54,56
Planet of the Apes,1968,Action/Drama/Sci-Fi,3.8,56
Election,1999,Comedy,3.66,56
Notting Hill,1999,Comedy/Romance,3.46,56
A.I. Artificial Intelligence,2001,Adventure/Drama/Sci-Fi,3.34,56
Pirates of the Caribbean: At World's End,2007,Action/Adventure/Comedy/Fantasy,3.44,56
From Dusk Till Dawn,1996,Action/Comedy/Horror/Thriller,3.51,55
City Slickers II: The Legend of Curly's Gold,1994,Adventure/Comedy/Western,2.65,55
Lady and the Tramp,1955,Animation/Children/Comedy/Romance,3.4,55
A Christmas Story,1983,Children/Comedy,3.97,55
Moulin Rouge,2001,Drama/Musical/Romance,3.59,55
The Others,2001,Drama/Horror/Mystery/Thriller,3.63,55
